"MZSRR1740401","MZSRR1740402","MZSRR1740403","EZSRR1740404","EZSRR1740405","EZSRR1740406","DZSRR1740407","DZSRR1740408","DZSRR1740409"
"1.279",1.70043971814109,3.23741075271918,1.89762767427955,3.1644644993886,6.26183165875214,10.7799893222994,10.3801872192616,11.4389441174704
"1.9",1.81516551408758,1.11503324294624,1.77399632511117,3.12134701687844,4.9659227767385,9.6278147358147,10.4060497771154,9.56742946215236
"3.453",2.16639409625346,3.92419492170948,4.07407722258206,4.01301553583926,7.89783335788316,11.2343456346069,10.777525743787,11.8776376693696
"2.074",1.55090066464752,3.5981269599196,3.64731450954714,3.50969584193339,7.06457033150919,10.7006789914659,10.1357836631315,11.2462079497856
"1.02",1.06488285158485,3.26933242973416,2.95828590092326,2.9701173976055,6.59949633401661,10.1959516299353,9.54787007070177,10.7800713691756
"5.462",2.56949109195872,3.8585778489074,6.35240543391063,6.9260824660449,9.34110736020909,11.7959629281185,12.0484606491274,12.3271099438543
"1.05",1.08678376614207,2.91991208867731,2.47040671081933,2.98677497639475,6.50888813730789,9.95043487763289,9.26730872052376,10.4733221974253
"0.712",1.13224779829844,2.88048962668782,3.27545409446132,3.13930576638392,7.04382567297434,9.98719862736738,9.51315119224179,10.6476580873884
"0.674",1.00288250853312,1.03139519627553,0.6535186707536,1.32941067121857,3.19975085671584,8.32626318558601,8.48494370107066,8.83862722488399
"0.315",0.435095151620097,0.913032999952141,0.849599011151452,1.38294386956899,3.39547415580252,8.12437983616298,8.39886765151982,8.81018600769536
"0.617",0.773152397014052,2.43349363984688,2.14828336250318,2.37378739372261,5.96576120135677,9.27594987515637,8.89123993251756,9.94914677716353
"0.228",1.01292617444427,0.781569544815974,1.82089374922857,2.13717560124804,4.11169907219742,8.84069296413362,9.21302643112306,8.71494608513337
"4.002",1.22280456104526,2.39341620047154,3.84759610226264,3.52994584978325,6.74107592259865,9.87009341808503,9.7477851467602,10.3663386084145
"1.509",0.624802765252947,1.89569039046369,1.67671874411843,1.66357233541752,5.24366908096686,9.12867231855648,8.16447958437109,9.19028397421263
"14.766",3.45457073742698,3.05900910004046,3.16671544496642,2.37573453858316,5.64820656303603,10.4126259446413,10.1580264337528,10.5537607910642
"0.465",0.899175630480513,2.29660423908893,2.48413813120167,2.11036324336042,5.51563676826979,9.39236250629436,8.43121760440856,9.86011857926717
"0.739",0.985500430304885,1.64938552918152,3.09271486352265,2.74243744537627,5.73194349794439,9.20592028892154,9.33169178252096,9.60326469872018
"7.955",2.73074862941621,3.95242676071363,3.76701910973141,3.80208979423553,6.92900979976455,10.9114916097623,10.3433933863916,11.4096815674804
