source,interaction,target
AT3G20840,A,AT1G49910
AT5G65510,A,AT1G49910
AT3G20840,A,AT1G50110
AT1G51190,A,AT1G50110
AT5G10510,A,AT1G50110
AT5G17430,A,AT1G50110
AT5G57390,A,AT1G50110
AT5G65510,A,AT1G50110
AT5G17430,A,AT1G50840
AT3G20840,A,AT1G53070
AT1G51190,A,AT1G53070
AT5G10510,A,AT1G53070
AT5G17430,A,AT1G53070
AT5G57390,A,AT1G53070
AT5G65510,A,AT1G53070
AT3G20840,A,AT1G53200
AT5G17430,A,AT1G53200
AT3G20840,A,AT1G53345
AT3G20840,A,AT1G53460
AT5G17430,A,AT1G53460
AT5G65510,A,AT1G53460
AT3G20840,R,AT1G53690
AT5G10510,R,AT1G53690
AT5G65510,R,AT1G53690
AT3G20840,A,AT1G53860
AT1G51190,A,AT1G53860
AT5G65510,A,AT1G53860
AT3G20840,A,AT1G54960
AT3G20840,A,AT1G55040
AT5G65510,A,AT1G55040
AT3G20840,A,AT1G55930
AT5G17430,A,AT1G55930
AT3G20840,A,AT1G56110
AT5G10510,A,AT1G56110
AT5G17430,A,AT1G56110
AT5G65510,A,AT1G56110
AT3G20840,A,AT1G56170
AT3G20840,A,AT1G56680
AT1G51190,A,AT1G56680
AT5G10510,A,AT1G56680
AT5G17430,A,AT1G56680
AT5G57390,A,AT1G56680
AT5G65510,A,AT1G56680
AT3G20840,A,AT1G56690
AT1G51190,A,AT1G56690
AT5G65510,A,AT1G56690
AT3G20840,A,AT1G59660
AT5G17430,A,AT1G60080
AT3G20840,A,AT1G60770
AT5G10510,A,AT1G60770
AT5G17430,A,AT1G60770
AT5G57390,A,AT1G60770
AT5G65510,A,AT1G60770
AT3G20840,A,AT1G61460
AT3G20840,A,AT1G61570
AT5G17430,A,AT1G61570
AT5G57390,A,AT1G61570
AT3G20840,A,AT1G62150
AT5G17430,A,AT1G62150
AT5G65510,A,AT1G62150
AT5G10510,A,AT1G62500
AT5G17430,A,AT1G62500
AT3G20840,A,AT1G63160
AT5G65510,A,AT1G63160
AT3G20840,A,AT1G63810
AT5G17430,A,AT1G63810
AT5G57390,A,AT1G63810
AT5G65510,A,AT1G63810
AT3G20840,A,AT1G63850
AT3G20840,A,AT1G64600
AT1G51190,A,AT1G64600
AT5G10510,A,AT1G64600
AT5G17430,A,AT1G64600
AT5G57390,A,AT1G64600
AT5G65510,A,AT1G64600
AT3G20840,A,AT1G66250
AT1G51190,A,AT1G66250
AT5G10510,A,AT1G66250
AT5G17430,A,AT1G66250
AT5G57390,A,AT1G66250
AT5G65510,A,AT1G66250
AT3G20840,A,AT1G67120
AT1G51190,A,AT1G67120
AT5G10510,A,AT1G67120
AT5G17430,A,AT1G67120
AT5G57390,A,AT1G67120
AT5G65510,A,AT1G67120
AT3G20840,A,AT1G67660
AT5G17430,A,AT1G67660
AT3G20840,A,AT1G68640
AT1G51190,A,AT1G68640
AT5G10510,A,AT1G68640
AT5G17430,A,AT1G68640
AT5G57390,A,AT1G68640
AT5G65510,A,AT1G68640
AT3G20840,A,AT1G68990
AT5G10510,A,AT1G68990
AT5G17430,A,AT1G68990
AT5G65510,A,AT1G68990
AT5G17430,A,AT1G69070
AT5G65510,A,AT1G69070
AT3G20840,A,AT1G69380
AT5G10510,A,AT1G69380
AT5G17430,A,AT1G69380
AT5G65510,A,AT1G69380
AT3G20840,A,AT1G71350
AT3G20840,A,AT1G71850
AT5G10510,A,AT1G71850
AT5G17430,A,AT1G71850
AT5G57390,A,AT1G71850
AT5G65510,A,AT1G71850
AT3G20840,A,AT1G72040
AT5G17430,A,AT1G72040
AT3G20840,A,AT1G72670
AT5G65510,A,AT1G72670
AT3G20840,A,AT1G73590
AT1G51190,A,AT1G73590
AT5G10510,A,AT1G73590
AT5G17430,A,AT1G73590
AT5G57390,A,AT1G73590
AT5G65510,A,AT1G73590
AT5G10510,A,AT1G74110
AT5G17430,A,AT1G74110
AT5G57390,A,AT1G74110
AT3G20840,A,AT1G74240
AT3G20840,A,AT1G74560
AT5G17430,A,AT1G74560
AT5G57390,A,AT1G74560
AT5G65510,A,AT1G74560
AT3G20840,A,AT1G75580
AT1G51190,A,AT1G75580
AT5G10510,A,AT1G75580
AT5G17430,A,AT1G75580
AT5G57390,A,AT1G75580
AT5G65510,A,AT1G75580
AT3G20840,A,AT1G75670
AT5G17430,A,AT1G75670
AT3G20840,A,AT1G76540
AT3G20840,A,AT1G77230
AT3G20840,A,AT1G77570
AT5G17430,A,AT1G77570
AT3G20840,A,AT1G78650
AT3G20840,A,AT1G79150
AT5G10510,A,AT1G79150
AT5G17430,A,AT1G79150
AT5G57390,A,AT1G79150
AT5G65510,A,AT1G79150
AT3G20840,A,AT1G79470
AT5G10510,A,AT1G79470
AT5G17430,A,AT1G79470
AT5G57390,A,AT1G79470
AT5G65510,A,AT1G79470
AT3G20840,A,AT1G79490
AT5G17430,A,AT1G79490
AT5G57390,A,AT1G79490
AT5G65510,A,AT1G79490
AT5G17430,A,AT1G80480
AT3G20840,A,AT2G01210
AT1G51190,A,AT2G01210
AT5G10510,A,AT2G01210
AT5G17430,A,AT2G01210
AT5G57390,A,AT2G01210
AT5G65510,A,AT2G01210
AT3G20840,A,AT2G01640
AT5G10510,A,AT2G01640
AT5G17430,A,AT2G01640
AT5G57390,A,AT2G01640
AT3G20840,A,AT2G03830
AT1G51190,A,AT2G03830
AT5G10510,A,AT2G03830
AT5G17430,A,AT2G03830
AT5G57390,A,AT2G03830
AT5G65510,A,AT2G03830
AT3G20840,A,AT2G04025
AT1G51190,A,AT2G04025
AT5G10510,A,AT2G04025
AT5G65510,A,AT2G04025
AT3G20840,A,AT2G04030
AT5G10510,A,AT2G04480
AT3G20840,A,AT2G06040
AT5G65510,A,AT2G06040
AT3G20840,A,AT2G07170
AT1G51190,A,AT2G07170
AT5G17430,A,AT2G07170
AT5G57390,A,AT2G07170
AT5G65510,A,AT2G07170
AT3G20840,A,AT2G14860
AT1G51190,A,AT2G14860
AT5G65510,A,AT2G14860
AT5G10510,A,AT2G16230
AT3G20840,A,AT2G16570
AT1G51190,A,AT2G16570
AT5G10510,A,AT2G16570
AT5G17430,A,AT2G16570
AT5G57390,A,AT2G16570
AT5G65510,A,AT2G16570
AT3G20840,A,AT2G16780
AT5G10510,A,AT2G16780
AT5G17430,A,AT2G16780
AT5G57390,A,AT2G16780
AT5G65510,A,AT2G16780
AT3G20840,A,AT2G17670
AT5G17430,A,AT2G17670
AT5G65510,A,AT2G17670
AT3G20840,A,AT2G18220
AT1G51190,A,AT2G18220
AT5G10510,A,AT2G18220
AT5G17430,A,AT2G18220
AT5G57390,A,AT2G18220
AT5G65510,A,AT2G18220
AT3G20840,A,AT2G18330
AT3G20840,A,AT2G18520
AT5G10510,A,AT2G18520
AT5G17430,A,AT2G18520
AT5G57390,A,AT2G18520
AT5G65510,A,AT2G18520
AT3G20840,A,AT2G18950
AT1G51190,A,AT2G18950
AT5G65510,A,AT2G18950
AT3G20840,A,AT2G19480
AT5G17430,A,AT2G19480
AT3G20840,A,AT2G21050
