gen_id,TF
AT5G57120,FALSE
AT5G50810,FALSE
AT4G29540,FALSE
AT5G59980,FALSE
AT2G21800,FALSE
AT1G10490,FALSE
AT1G80620,FALSE
AT5G53290,TRUE
AT1G44900,FALSE
AT4G28190,FALSE
AT5G21160,FALSE
AT3G46940,FALSE
AT5G10390,FALSE
AT5G50890,FALSE
AT4G11060,FALSE
AT1G22270,FALSE
AT3G52180,FALSE
AT1G08580,FALSE
AT5G23420,FALSE
AT4G15730,FALSE
AT5G60960,FALSE
AT3G60660,FALSE
AT2G40430,FALSE
AT5G46280,FALSE
AT3G25940,FALSE
AT5G39850,FALSE
AT5G23070,FALSE
AT1G20370,FALSE
AT3G15080,FALSE
AT1G64450,FALSE
AT2G29760,FALSE
AT4G10620,FALSE
AT5G01230,FALSE
AT2G23040,FALSE
AT5G10920,FALSE
AT3G16310,FALSE
AT1G03510,FALSE
AT5G38110,FALSE
AT2G37890,FALSE
AT4G27510,FALSE
AT2G35750,FALSE
AT5G14450,FALSE
AT2G37560,FALSE
AT4G37670,FALSE
AT2G31060,FALSE
AT4G23540,FALSE
AT1G69400,FALSE
AT1G27050,FALSE
AT2G27590,FALSE
AT5G16690,FALSE
AT5G46160,FALSE
AT4G09020,FALSE
AT5G02590,FALSE
AT4G35930,FALSE
AT4G08590,FALSE
AT1G79890,FALSE
AT3G62050,FALSE
AT3G24080,FALSE
AT5G17490,TRUE
AT3G49710,FALSE
AT5G06110,TRUE
AT5G25800,FALSE
AT4G26430,FALSE
AT4G22280,FALSE
AT2G39020,FALSE
AT1G15660,FALSE
AT4G26190,FALSE
AT2G14860,FALSE
AT2G30000,FALSE
AT5G26110,FALSE
AT5G61370,FALSE
AT4G28590,FALSE
AT3G14890,FALSE
AT1G06270,FALSE
AT5G14440,FALSE
AT3G07030,FALSE
AT3G16840,FALSE
AT3G13222,FALSE
AT4G28410,FALSE
AT5G25590,FALSE
AT2G28950,FALSE
AT3G05810,FALSE
AT5G67100,FALSE
AT5G26670,FALSE
AT4G00750,FALSE
AT4G02460,FALSE
AT5G43720,FALSE
AT5G04220,FALSE
AT1G63850,FALSE
AT3G56510,FALSE
AT4G40000,FALSE
AT1G04730,FALSE
AT4G26900,FALSE
AT5G12080,FALSE
AT1G67320,FALSE
AT1G17480,FALSE
AT1G54050,FALSE
AT1G75580,FALSE
AT5G49020,FALSE
AT2G21130,FALSE
AT1G28210,FALSE
AT5G08380,FALSE
AT1G06980,FALSE
AT1G73602,FALSE
AT3G15590,FALSE
AT4G36020,FALSE
AT5G62410,FALSE
AT1G73600,FALSE
AT5G50110,FALSE
AT3G49660,FALSE
AT2G43780,FALSE
AT1G61460,FALSE
AT3G48210,FALSE
AT5G09380,FALSE
AT4G05440,FALSE
AT1G54960,FALSE
AT1G06590,FALSE
AT5G60210,FALSE
AT3G60880,FALSE
AT3G21480,FALSE
AT5G10240,FALSE
AT3G46970,FALSE
AT5G16850,FALSE
AT5G51200,FALSE
AT1G72420,FALSE
AT3G62310,FALSE
AT5G62710,FALSE
AT2G17230,FALSE
AT5G13520,FALSE
AT1G01320,FALSE
AT1G15940,FALSE
AT1G55200,FALSE
AT1G59660,FALSE
AT1G30600,FALSE
AT5G33300,FALSE
AT4G09160,FALSE
AT4G30340,FALSE
AT1G69380,FALSE
AT5G47455,FALSE
AT5G48120,FALSE
AT1G47270,FALSE
AT1G56170,TRUE
AT3G51870,FALSE
AT3G14360,FALSE
AT1G53345,FALSE
AT4G11130,FALSE
AT1G75150,FALSE
AT4G25880,FALSE
AT1G32240,TRUE
AT5G02520,FALSE
AT5G18620,FALSE
AT2G38550,FALSE
AT5G02070,FALSE
AT1G24310,FALSE
AT1G27680,FALSE
AT4G01790,FALSE
AT4G26300,FALSE
AT3G48710,FALSE
AT3G47800,FALSE
AT4G22000,FALSE
AT2G33330,FALSE
AT1G34770,FALSE
AT3G56270,FALSE
AT3G19515,FALSE
AT5G56220,FALSE
AT5G40660,FALSE
AT2G37470,FALSE
AT4G10280,FALSE
AT3G52905,FALSE
AT4G13780,FALSE
AT4G35490,FALSE
AT2G18230,FALSE
AT4G16265,FALSE
AT5G19320,FALSE
AT5G24970,FALSE
AT4G04950,FALSE
AT5G09590,FALSE
AT3G04980,FALSE
AT1G55930,FALSE
AT1G08730,FALSE
AT1G66530,FALSE
AT5G64630,FALSE
AT1G77230,FALSE
AT4G21800,FALSE
AT1G26260,TRUE
AT2G24970,FALSE
AT4G33200,FALSE
AT4G23860,FALSE
AT3G24240,FALSE
AT1G55110,TRUE
AT1G79540,FALSE
AT5G47400,FALSE
AT2G25270,FALSE
AT2G19480,FALSE
AT5G24490,FALSE
AT5G45400,FALSE
AT2G19380,FALSE
AT2G31660,FALSE
AT4G27900,FALSE
AT5G48960,FALSE
AT5G47440,FALSE
AT4G35070,FALSE
AT1G30820,FALSE
AT5G18250,FALSE
AT4G38670,FALSE
AT3G01740,FALSE
AT1G73100,FALSE
AT5G56500,FALSE
AT3G01610,FALSE
AT2G34710,TRUE
AT1G77590,FALSE
AT3G56490,FALSE
AT1G06960,FALSE
AT1G71350,FALSE
AT5G19530,FALSE
AT3G20810,FALSE
AT5G16040,FALSE
AT5G43500,FALSE
AT1G55500,FALSE
AT3G21100,FALSE
AT2G41520,FALSE
AT3G48410,FALSE
AT5G60630,FALSE
AT4G12130,FALSE
AT4G30870,FALSE
AT2G38370,FALSE
AT2G30590,TRUE
AT5G47080,FALSE
AT4G33060,FALSE
AT3G10650,FALSE
AT1G71100,FALSE
AT4G33100,FALSE
AT5G49880,FALSE
AT2G22450,FALSE
AT4G00110,FALSE
AT3G53500,FALSE
AT2G19930,FALSE
AT5G04670,FALSE
AT2G38280,FALSE
AT5G15920,FALSE
AT2G37540,FALSE
AT5G48300,FALSE
AT5G09250,FALSE
AT3G55620,FALSE
AT5G02010,FALSE
AT3G06910,FALSE
AT3G13450,FALSE
AT4G32400,FALSE
AT5G51280,FALSE
AT3G03170,FALSE
AT5G52850,FALSE
AT2G36390,FALSE
AT1G33420,FALSE
AT3G15060,FALSE
AT2G01420,FALSE
AT2G26900,FALSE
AT1G79110,FALSE
AT1G68430,FALSE
AT1G50660,FALSE
AT5G13290,FALSE
AT3G24660,FALSE
AT3G22220,FALSE
AT1G79390,FALSE
AT1G43860,FALSE
AT3G47120,FALSE
AT4G32620,FALSE
AT5G23590,FALSE
AT4G27680,FALSE
