go.id	gen.id
GO:0009616	Zm00001d027412
GO:0009880	Zm00001d027412
GO:0010228	Zm00001d027412
GO:0010267	Zm00001d027412
GO:0010599	Zm00001d027412
GO:0030422	Zm00001d027412
GO:0031047	Zm00001d027412
GO:0035194	Zm00001d027412
GO:0035196	Zm00001d027412
GO:0035279	Zm00001d027412
GO:0048317	Zm00001d027412
GO:0090305	Zm00001d027412
GO:0090501	Zm00001d027412
GO:0090502	Zm00001d027412
GO:2000034	Zm00001d027412
GO:0000045	Zm00001d027415
GO:0000422	Zm00001d027415
GO:0006468	Zm00001d027415
GO:0006914	Zm00001d027415
GO:0016310	Zm00001d027415
GO:0018105	Zm00001d027415
GO:0034727	Zm00001d027415
GO:0042594	Zm00001d027415
GO:0044805	Zm00001d027415
GO:0061709	Zm00001d027415
GO:0006779	Zm00001d027416
GO:0006357	Zm00001d027419
GO:0006412	Zm00001d027421
GO:0015979	Zm00001d027422
GO:0006355	Zm00001d027425
GO:0006357	Zm00001d027425
GO:0045944	Zm00001d027425
GO:0016925	Zm00001d027427
GO:0072657	Zm00001d027428
GO:0031145	Zm00001d027430
GO:1904668	Zm00001d027430
GO:1905786	Zm00001d027430
GO:0006355	Zm00001d027431
GO:0006357	Zm00001d027431
GO:0006355	Zm00001d027435
GO:0006357	Zm00001d027435
GO:0005975	Zm00001d027441
GO:0008152	Zm00001d027441
GO:0006412	Zm00001d027442
GO:0008610	Zm00001d027443
GO:0016117	Zm00001d027443
GO:0042127	Zm00001d027444
GO:0090069	Zm00001d027444
GO:0006671	Zm00001d027445
GO:0008654	Zm00001d027445
GO:0009409	Zm00001d027445
GO:0016310	Zm00001d027445
GO:0045039	Zm00001d027445
GO:0006468	Zm00001d027446
GO:0016310	Zm00001d027446
GO:0032434	Zm00001d027447
GO:0032436	Zm00001d027447
GO:0010960	Zm00001d027448
GO:0000226	Zm00001d027450
GO:0032259	Zm00001d027451
GO:0006468	Zm00001d027455
GO:0007165	Zm00001d027455
GO:0016310	Zm00001d027455
GO:0050896	Zm00001d027455
GO:0006355	Zm00001d027459
GO:0006355	Zm00001d027461
GO:0006468	Zm00001d027463
GO:0016310	Zm00001d027463
GO:0006812	Zm00001d027466
GO:0055085	Zm00001d027466
GO:0071805	Zm00001d027466
GO:1902600	Zm00001d027466
GO:0006606	Zm00001d027467
GO:0015711	Zm00001d027468
GO:0015748	Zm00001d027468
GO:0055085	Zm00001d027468
GO:0071705	Zm00001d027468
GO:0140021	Zm00001d027468
GO:1990544	Zm00001d027468
GO:1901259	Zm00001d027470
GO:0006075	Zm00001d027472
GO:0008360	Zm00001d027472
GO:0071555	Zm00001d027472
GO:0006260	Zm00001d027476
GO:0006271	Zm00001d027476
GO:0006297	Zm00001d027476
GO:1904161	Zm00001d027476
GO:0006259	Zm00001d027479
GO:0006260	Zm00001d027479
GO:0006271	Zm00001d027479
GO:0006468	Zm00001d027480
GO:0009409	Zm00001d027480
GO:0016310	Zm00001d027480
GO:0018105	Zm00001d027480
GO:0035556	Zm00001d027480
GO:0046777	Zm00001d027480
GO:0006486	Zm00001d027484
GO:0018279	Zm00001d027484
GO:0006506	Zm00001d027485
GO:0006952	Zm00001d027486
GO:0009607	Zm00001d027486
GO:0016075	Zm00001d027487
GO:0090305	Zm00001d027487
GO:0090501	Zm00001d027487
GO:0090503	Zm00001d027487
GO:0006006	Zm00001d027488
GO:0009409	Zm00001d027488
GO:0009416	Zm00001d027488
GO:0009744	Zm00001d027488
GO:0006811	Zm00001d027490
GO:0034220	Zm00001d027490
GO:0051453	Zm00001d027490
GO:0120029	Zm00001d027490
GO:1902600	Zm00001d027490
GO:0006355	Zm00001d027492
GO:0010468	Zm00001d027492
GO:0006811	Zm00001d027494
GO:0006816	Zm00001d027494
GO:0036444	Zm00001d027494
GO:0051560	Zm00001d027494
GO:0070588	Zm00001d027494
GO:0006259	Zm00001d027495
GO:0090305	Zm00001d027495
GO:0007275	Zm00001d027497
GO:0010268	Zm00001d027497
GO:0016125	Zm00001d027497
GO:0016132	Zm00001d027497
GO:0030036	Zm00001d027498
GO:0006952	Zm00001d027500
GO:0006352	Zm00001d027501
GO:0006366	Zm00001d027501
GO:0006139	Zm00001d027502
GO:0006807	Zm00001d027502
GO:0016310	Zm00001d027502
GO:0046940	Zm00001d027502
GO:0006897	Zm00001d027503
GO:0016197	Zm00001d027503
GO:0006468	Zm00001d027508
GO:0016310	Zm00001d027508
GO:0006468	Zm00001d027509
GO:0016310	Zm00001d027509
GO:0006355	Zm00001d027510
GO:0000302	Zm00001d027511
GO:0006979	Zm00001d027511
GO:0009628	Zm00001d027511
GO:0009725	Zm00001d027511
GO:0042542	Zm00001d027511
GO:0042744	Zm00001d027511
GO:0098869	Zm00001d027511
GO:0000027	Zm00001d027512
GO:0006412	Zm00001d027512
GO:0006511	Zm00001d027514
GO:0001680	Zm00001d027515
GO:0006396	Zm00001d027515
GO:0097222	Zm00001d027515
GO:0009698	Zm00001d027519
GO:0009653	Zm00001d027520
GO:0006468	Zm00001d027523
GO:0009742	Zm00001d027523
GO:0016310	Zm00001d027523
GO:0000272	Zm00001d027524
GO:0005975	Zm00001d027524
GO:0006032	Zm00001d027524
GO:0008152	Zm00001d027524
GO:0016998	Zm00001d027524
GO:0050832	Zm00001d027524
GO:0000272	Zm00001d027525
GO:0005975	Zm00001d027525
GO:0006032	Zm00001d027525
GO:0008152	Zm00001d027525
GO:0016998	Zm00001d027525
GO:0050832	Zm00001d027525
GO:0000028	Zm00001d027527
GO:0002181	Zm00001d027527
GO:0006412	Zm00001d027527
GO:0006355	Zm00001d027530
GO:0009698	Zm00001d027534
GO:0071704	Zm00001d027534
GO:0009698	Zm00001d027535
GO:0006535	Zm00001d027536
GO:0019344	Zm00001d027536
GO:0042221	Zm00001d027539
GO:0042221	Zm00001d027540
GO:0042221	Zm00001d027541
GO:0042221	Zm00001d027542
GO:0009833	Zm00001d027545
GO:0097502	Zm00001d027545
GO:0006355	Zm00001d027546
GO:0031347	Zm00001d027546
GO:0032259	Zm00001d027551
GO:0045893	Zm00001d027551
GO:0006749	Zm00001d027557
GO:0042221	Zm00001d027557
GO:0006099	Zm00001d027558
GO:0006101	Zm00001d027558
GO:0043436	Zm00001d027558
GO:0006413	Zm00001d027566
GO:0022900	Zm00001d027567
GO:0140647	Zm00001d027567
GO:0035970	Zm00001d027570
GO:0035970	Zm00001d027571
GO:0035970	Zm00001d027572
GO:0000492	Zm00001d027576
GO:0051315	Zm00001d027577
GO:0051382	Zm00001d027577
GO:0051455	Zm00001d027577
GO:0015698	Zm00001d027580
GO:0055085	Zm00001d027580
GO:0098656	Zm00001d027580
GO:0006811	Zm00001d027582
GO:0015693	Zm00001d027582
